10 10 10 25
1  1  0  0  1  1  0  1  1  1
1  1  0  0  1  1  0  0  1  1
1  1  0  0  1  1  0  0  1  1
1  1  0  0  1  1  0  0  1  1
1  1  0  0  1  1  1  1  1  1
1  1  0  0  1  1  0  0  1  1
1  1  0  0  1  1  0  0  1  1
1  1  0  0  1  1  0  0  1  1
1  1  0  0  1  1  0  0  1  1
1  1  0  0  1  1  0  0  1  1
#V V C C S S
# v1
# -1
1 1 1 10 10 1
# 10 + 9 + 32 = 51
1 1 1 10 10 10
# 10 + 14 + 11 + 40 + 30 = 105
1 1 1 10 10 5
# 10 + 1 = 11
1 1 5 8 5 9
# 0
1 1 1 10 1 10
# v2
# -1 
2 5 1 10 10 1
# 10 + 36 = 46
2 5 1 10 10 9
# 10 + 14 + 40 + 30 = 94
2 5 1 10 10 5
# 10 + 1 = 11
2 5 1 10 2 10
# 0
2 5 1 10 1 10
# v3
# -1
1 9 1 10 10 1
# 2 + 9 + 32 = 43
1 9 1 10 10 10
# 10 + 3 + 30 = 43
5 10 5 9 5 6
# 2 + 1 = 3
1 9 1 10 2 10
# 0
1 9 1 10 1 10
# v4
# -1
2 10 1 10 10 1
# 0 + 9 + 32 = 41
2 10 1 10 10 10
# 0 + 4 + 30 = 34
5 9 5 10 5 6
# 1
2 10 1 10 2 10
# 0
1 10 1 10 1 10
# v5
# -1
3 1 3 10 3 1
# 7 + 7 + 24 = 38
10 9 3 10 10 9
# 6 + 7 + 4 + 40 = 57
5 5 3 10 5 5
# 1
3 9 3 10 3 9
# 0
3 10 3 10 3 10
